"","Blank 1","Frequency","Blank 2","Frequency","Blank 3","Frequency","Blank 4","Frequency"
"1","",51,"and",39,"=",45,"2 . 5 x institutional mcLn                                                                           ",8
"4","patients must have",2,"/",12,"",12,"2 . 5 x upper limit of normal uln                                                                      ",4
"21","obtained within 28 days prior to registration",2,"or",8,"both =",3,"2 . 5 x uln or < 5 x uln for patients with known liver metastases                                                                 ",3
"25","within 14 days prior to registration",2,"",2,"is performed instead of ast per institution s standard practice the alt value must be =",2,"3 x upper limit of normal uln                                                                   ",3
"7","obtained = < 7 days prior to registration",1,"ast and",1,"both",1,"3 x institutional mcLn                                                                              ",2
"26","clinical / laboratory criteria",1,"and serum",1,"within =",1,"2 . 5 x mcLn                                                                            ",2
"29","within 28 days prior to registration",1,"must be = < 1 . 5 x mcLn for the lab note if",1,"must be",1,"3 x mcLn = < 5 x mcLn for patients with documented liver metastases                                                                   ",2
"36","transaminases",1,"must be = < 3 x mcLn for the lab within 28 days before randomization note if",1,"",NA,"grade 1                                                                                ",1
"48","obtained = < 48 hours prior to registration",1,"",NA,"",NA,"10 x mcLn                                                                              ",1
"50","if liver metastases present",1,"",NA,"",NA,"5 x uln unless due to lymphoma within 42 days prior to registration                                                                 ",1
"52","serum",1,"",NA,"",NA,"2 . 5 times the institutional mcLn unless elevated secondary to lymphomatous involvement of the liver in which case the ast / alt must be = < 5 times the institutional mcLn                                                  ",1
"64","within 6 weeks prior to randomization",1,"",NA,"",NA,"3 . 0 x mcLn                                                                            ",1
"2","",NA,"",NA,"",NA,"3 x the institutional mcLn                                                                             ",1
"3","",NA,"",NA,"",NA,"3 x institutional mcLn within 14 days prior to registration                                                                        ",1
"5","",NA,"",NA,"",NA,"2 . 5 x institutional mcLn within 2 weeks of the first dose of study treatment                                                                 ",1
"6","",NA,"",NA,"",NA,"1 . 5 x institutional mcLn within 21 days prior to registration                                                                     ",1
"8","",NA,"",NA,"",NA,"2 . 5 x uln or = < 5 x uln for patients with known liver metastases                                                         ",1
"9","",NA,"",NA,"",NA,"2 . 5 x uln                                                                           ",1
"10","",NA,"",NA,"",NA,"2 . 5 x uln patients with liver metastases may have ast and alt of = < 5 . 0 x uln                                                     ",1
"11","",NA,"",NA,"",NA,"2 . 5 x uln or = < 5 x uln for patients with known liver metastases these results must be obtained within 28 days prior to registration                                                 ",1
"12","",NA,"",NA,"",NA,"2 . 5 x mcLn within 4 weeks of randomization                                                                       ",1
"13","",NA,"",NA,"",NA,"3 x uln                                                                       ",1
"14","",NA,"",NA,"",NA,"3 x mcLn ast and / or alt = < 5 x mcLn for patients with liver involvement                                                         ",1
"15","",NA,"",NA,"",NA,"2 x uln                                                                              ",1
"16","",NA,"",NA,"",NA,"2 . 5 x uln within 28 days prior to registration                                                                      ",1
"17","",NA,"",NA,"",NA,"6 x institutional mcLn                                                                            ",1
"18","",NA,"",NA,"",NA,"2 . 5 x uln = < 5 x uln secondary to lymphoma within 28 days prior to registration                                                              ",1
"19","",NA,"",NA,"",NA,"5 x uln within 28 days prior to registration                                                                       ",1
"20","",NA,"",NA,"",NA,"2 . 5 x institutional mcLn within 30 days of day 1 of study                                                                   ",1
"22","",NA,"",NA,"",NA,"2 . 5 x upper limit of normal uln if liver metastases are present = < 5 x mcLn                                                              ",1
"23","",NA,"",NA,"",NA,"3 . 0 times institutional upper limit of normal with or without liver metastasis within 21 days prior to study entry                                                            ",1
"24","",NA,"",NA,"",NA,"6 times upper limit of normal uln obtained within 14 days prior to study entry                                                                   ",1
"27","",NA,"",NA,"",NA,"2 . 5 x upper limit of normal uln within 14 days prior to registration                                                                  ",1
"28","",NA,"",NA,"",NA,"2 . 5 x upper limit of normal uln obtained within 2 weeks prior to registration                                                                 ",1
"30","",NA,"",NA,"",NA,"3 x upper limit of normal                                                                          ",1
"31","",NA,"",NA,"",NA,"2 . 5 x the upper limit of normal                                                                         ",1
"32","",NA,"",NA,"",NA,"2 . 5 x uln uln                                                                            ",1
"33","",NA,"",NA,"",NA,"3 x the institutional upper limit of normal                                                                          ",1
"34","",NA,"",NA,"",NA,"3 . 0 x institutional upper limit of normal uln within 14 days prior to registration                                                              ",1
"35","",NA,"",NA,"",NA,"2 . 5 uln uln unless due to hepatic metastases in which case levels = < 5 x mcLn are allowed                                                            ",1
"37","",NA,"",NA,"",NA,"3 . 0 x uln uln                                                                           ",1
"38","",NA,"",NA,"",NA,"3 . 0 upper limit of normal uln                                                                         ",1
"39","",NA,"",NA,"",NA,"3 x upper limit of normal uln if liver metastases = < 5 x upper limit of normal uln                                                              ",1
"40","",NA,"",NA,"",NA,"3 x the upper limit of normal                                                                           ",1
"41","",NA,"",NA,"",NA,"1 . 5 x the upper limit of normal                                                                         ",1
"42","",NA,"",NA,"",NA,"3 x upper limit of normal uln unless suspected leukemic involvement of the liver                                                                    ",1
"43","",NA,"",NA,"",NA,"1 . 5 x mcLn if both were performed the ast must be = < 1 . 5 x mcLn                           ",1
"44","",NA,"",NA,"",NA,"3 x mcLn if both were performed the ast must also be = < 3 x mcLn if ast and / or alt is > = mcLn but = < 3 x mcLn serologic testing for hbv and c must be performed and results for viral infection must be negative",1
